Program	query	reference	algorithm	elapsedTime	userTime	systemTime	maxResidentMemory	CPU
alnSeqOFast	small	small	needle	0.05	0.05	0.00	1384	100%
alnSeqOFast	small	small	water	0.08	0.07	0.00	1384	91%
alnSeqO3	small	small	needle	0.05	0.05	0.00	1384	100%
alnSeqO3	small	small	water	0.06	0.06	0.00	1384	98%
alnSeqO2	small	small	needle	0.05	0.05	0.00	1384	100%
alnSeqO2	small	small	water	0.06	0.06	0.00	1384	100%
alnSeqO0	small	small	needle	0.09	0.09	0.00	1520	100%
alnSeqO0	small	small	water	0.11	0.11	0.00	1520	100%
bio-align	small	small	hb	0.01	0.01	0.00	1472	100%
ssw_test	small	small	water	0.00	0.00	0.00	2328	100%
bio-align	small	small	needle	0.01	0.01	0.00	25292	93%
bio-align	small	small	water	2.30	0.48	0.05	25488	23%
seq-align	small	small	needle	0.09	0.09	0.00	41872	98%
seq-align	small	small	water	0.92	0.91	0.01	91032	99%
emboss	small	small	needle	0.06	0.04	0.01	67524	100%
emboss	small	small	water	0.06	0.05	0.01	43004	100%
alnSeqOFast	small	small	needle	0.05	0.05	0.00	1384	100%
alnSeqOFast	small	small	water	0.06	0.06	0.00	1384	100%
alnSeqO3	small	small	needle	0.05	0.05	0.00	1384	100%
alnSeqO3	small	small	water	0.06	0.06	0.00	1384	98%
alnSeqO2	small	small	needle	0.05	0.05	0.00	1384	100%
alnSeqO2	small	small	water	0.06	0.06	0.00	1384	100%
alnSeqO0	small	small	needle	0.09	0.09	0.00	1520	100%
alnSeqO0	small	small	water	0.11	0.11	0.00	1520	100%
bio-align	small	small	hb	0.01	0.01	0.00	1472	100%
ssw_test	small	small	water	0.00	0.00	0.00	2228	100%
bio-align	small	small	needle	0.01	0.01	0.00	25628	100%
bio-align	small	small	water	0.71	0.41	0.06	25772	67%
seq-align	small	small	needle	0.09	0.09	0.00	39684	100%
seq-align	small	small	water	0.94	0.92	0.01	86080	99%
emboss	small	small	needle	0.06	0.04	0.01	67304	98%
emboss	small	small	water	0.07	0.05	0.01	42744	98%
alnSeqOFast	small	small	needle	0.05	0.04	0.00	1384	100%
