Program	ref	query	algorithm	flags	elapsedTime	userTime	systemTime	maxResidentMemory	CPU
alnSeq	small	small	needle	two-bit	0.02	0.02	0.00	1408	96%
alnSeq	small	small	water	two-bit	0.03	0.02	0.00	1408	83%
alnSeq	small	small	scan	two-bit	0.04	0.04	0.00	1536	100%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	two-bit	0.04	0.04	0.00	784	100%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	768	100%
alnSeq	small	small	hirschberg	fast	0.00	0.00	0.00	784	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4480	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4736	100%
alnSeq	small	small	needle	byte	0.01	0.01	0.00	3784	92%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3820	93%
alnSeq	small	small	scan	byte	0.03	0.02	0.00	3968	100%
alnSeq	small	small	needle	mid	0.01	0.01	0.00	3840	92%
alnSeq	small	small	water	mid	0.01	0.01	0.00	3772	100%
alnSeq	small	small	scan	mid	0.03	0.03	0.00	3956	97%
alnSeq	small	small	needle	fast	0.01	0.01	0.00	3840	100%
alnSeq	small	small	water	fast	0.00	0.00	0.00	3812	100%
alnSeq	small	small	scan	fast	0.02	0.02	0.00	3968	100%
bio-align	small	small	needle	NA	0.01	0.01	0.00	28368	94%
emboss	small	small	needle	NA	0.06	0.03	0.02	67592	98%
emboss	small	small	water	NA	0.07	0.05	0.01	43044	98%
alnSeq	small	small	needle	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	water	two-bit	0.02	0.02	0.00	1408	96%
alnSeq	small	small	scan	two-bit	0.04	0.04	0.00	1536	100%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	two-bit	0.04	0.04	0.00	768	100%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	fast	0.00	0.00	0.00	784	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4480	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4608	100%
alnSeq	small	small	needle	byte	0.01	0.01	0.00	3796	92%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3840	94%
alnSeq	small	small	scan	byte	0.03	0.03	0.00	3968	100%
alnSeq	small	small	needle	mid	0.01	0.01	0.00	3840	92%
alnSeq	small	small	water	mid	0.01	0.01	0.00	3840	100%
alnSeq	small	small	scan	mid	0.03	0.03	0.00	4032	97%
alnSeq	small	small	needle	fast	0.01	0.01	0.00	3840	100%
alnSeq	small	small	water	fast	0.01	0.01	0.00	3840	100%
alnSeq	small	small	scan	fast	0.02	0.02	0.00	3992	100%
bio-align	small	small	needle	NA	0.01	0.00	0.00	28372	94%
emboss	small	small	needle	NA	0.06	0.05	0.01	67612	100%
emboss	small	small	water	NA	0.06	0.06	0.00	42980	100%
alnSeq	small	small	needle	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	water	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	scan	two-bit	0.04	0.04	0.00	1536	100%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	two-bit	0.04	0.04	0.00	776	97%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	fast	0.00	0.00	0.00	784	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4480	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4608	100%
alnSeq	small	small	needle	byte	0.01	0.01	0.00	3840	92%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3800	93%
alnSeq	small	small	scan	byte	0.03	0.03	0.00	3956	100%
alnSeq	small	small	needle	mid	0.01	0.01	0.00	3792	92%
alnSeq	small	small	water	mid	0.01	0.01	0.00	3868	100%
alnSeq	small	small	scan	mid	0.03	0.03	0.00	3968	97%
alnSeq	small	small	needle	fast	0.00	0.00	0.00	3784	100%
alnSeq	small	small	water	fast	0.01	0.01	0.00	3840	100%
alnSeq	small	small	scan	fast	0.02	0.02	0.00	3976	100%
bio-align	small	small	needle	NA	0.01	0.01	0.00	28368	94%
emboss	small	small	needle	NA	0.06	0.05	0.00	67612	98%
emboss	small	small	water	NA	0.07	0.06	0.00	43020	100%
alnSeq	small	small	needle	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	water	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	scan	two-bit	0.04	0.04	0.00	1536	97%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	two-bit	0.04	0.04	0.00	768	100%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	fast	0.00	0.00	0.00	768	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4480	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4608	80%
alnSeq	small	small	needle	byte	0.01	0.01	0.00	3856	100%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3772	87%
alnSeq	small	small	scan	byte	0.03	0.03	0.00	3968	100%
alnSeq	small	small	needle	mid	0.01	0.01	0.00	3840	92%
