Program	ref	query	algorithm	flags	elapsedTime	userTime	systemTime	maxResidentMemory	CPU
alnSeq	small	small	needle	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	water	two-bit	0.06	0.06	0.00	1408	93%
alnSeq	small	small	mem-water	byte	0.04	0.04	0.00	784	100%
alnSeq	small	small	mem-water	mid	0.04	0.04	0.00	784	100%
alnSeq	small	small	mem-water	fast	0.03	0.03	0.00	768	100%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	fast	0.01	0.01	0.00	784	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4480	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4608	100%
python	small	small	blank	NA	0.03	0.01	0.01	12160	76%
sequence_align	small	small	hirschberg	NA	0.10	0.08	0.01	12544	91%
sequence_align	small	small	needle	NA	0.09	0.06	0.02	63064	92%
biopython	small	small	needle	NA	0.75	0.46	0.35	37464	107%
alnSeq	small	small	needle	byte	0.02	0.02	0.00	3856	100%
alnSeq	small	small	needle	mid	0.01	0.01	0.00	3840	94%
alnSeq	small	small	needle	fast	0.00	0.00	0.00	3860	85%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3848	100%
alnSeq	small	small	water	mid	0.01	0.01	0.00	3768	100%
alnSeq	small	small	water	fast	0.01	0.00	0.00	3780	90%
bio-align	small	small	needle	NA	0.01	0.01	0.00	28240	94%
emboss	small	small	needle	NA	0.06	0.04	0.01	66628	100%
emboss	small	small	water	NA	0.07	0.06	0.00	42140	97%
alnSeq	small	small	needle	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	water	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	mem-water	byte	0.04	0.04	0.00	784	100%
alnSeq	small	small	mem-water	mid	0.04	0.04	0.00	784	100%
alnSeq	small	small	mem-water	fast	0.03	0.03	0.00	784	100%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	fast	0.01	0.01	0.00	784	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4352	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4608	100%
python	small	small	blank	NA	0.03	0.01	0.00	12032	78%
sequence_align	small	small	hirschberg	NA	0.07	0.06	0.00	12544	88%
sequence_align	small	small	needle	NA	0.09	0.07	0.01	64084	90%
biopython	small	small	needle	NA	0.22	0.41	0.26	37848	296%
alnSeq	small	small	needle	byte	0.02	0.02	0.00	3836	100%
alnSeq	small	small	needle	mid	0.01	0.01	0.00	3840	100%
alnSeq	small	small	needle	fast	0.00	0.00	0.00	3840	100%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3840	94%
alnSeq	small	small	water	mid	0.01	0.01	0.00	3840	100%
alnSeq	small	small	water	fast	0.01	0.01	0.00	3796	100%
bio-align	small	small	needle	NA	0.01	0.00	0.00	28240	94%
emboss	small	small	needle	NA	0.06	0.05	0.00	66532	96%
emboss	small	small	water	NA	0.07	0.06	0.00	42116	98%
alnSeq	small	small	needle	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	water	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	mem-water	byte	0.04	0.04	0.00	768	100%
alnSeq	small	small	mem-water	mid	0.04	0.04	0.00	784	100%
alnSeq	small	small	mem-water	fast	0.03	0.03	0.00	784	100%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	768	100%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	fast	0.01	0.01	0.00	784	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4352	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4608	100%
python	small	small	blank	NA	0.03	0.01	0.00	12160	73%
sequence_align	small	small	hirschberg	NA	0.07	0.06	0.00	12288	88%
sequence_align	small	small	needle	NA	0.09	0.06	0.02	64056	90%
biopython	small	small	needle	NA	0.24	0.38	0.30	37588	285%
